Transition_Name,Lipid_Name,For_Rgoslin,Precursor_Ion,Product_Ion,Retention_Time_[min],Delta_Retention_Time_[min],Collision_Energy,Cell_Accelerator_Voltage,Polarity,isISTD
PC(O-36:0),PC O-36:0,PC O-36:0,776.6,184.1,10,1,25,5,Positive,FALSE
PC(O-36:1),PC O-36:1,PC O-36:1,774.6,184.1,8.9,1,25,5,Positive,FALSE
PC(O-36:2) (a\b),PC O-36:2,PC O-36:2,772.6,184.1,8.4,1.2,25,5,Positive,FALSE
PC(O-36:3) (a\b),PC O-36:3,PC O-36:3,770.6,184.1,8.1,1.2,25,5,Positive,FALSE
PC(O-36:4),PC O-36:4,PC O-36:4,768.6,184.1,7.1,1,25,5,Positive,FALSE
PC(O-36:5),PC O-36:5,PC O-36:5,766.5,184.1,7,1,25,5,Positive,FALSE
PC(O-38:3),PC O-38:3,PC O-38:3,798.6,184.1,8.9,1,25,5,Positive,FALSE
PC(O-38:4),PC O-38:4,PC O-38:4,796.6,184.1,8.3,1,25,5,Positive,FALSE
PC(O-38:5),PC O-38:5,PC O-38:5,794.6,184.1,7.5,1,25,5,Positive,FALSE
PC(O-38:6),PC O-38:6,PC O-38:6,792.6,184.1,7.1,1,25,5,Positive,FALSE
PC(O-40:2),PC O-40:2,PC O-40:2,828.7,184.1,10.1,1,25,5,Positive,FALSE
PC(O-40:3),PC O-40:3,PC O-40:3,826.6,184.1,9.7,1,25,5,Positive,FALSE
PC(O-40:4),PC O-40:4,PC O-40:4,824.6,184.1,9.2,1,25,5,Positive,FALSE
PC(O-40:5),PC O-40:5,PC O-40:5,822.6,184.1,8.4,1,25,5,Positive,FALSE
PC(O-40:6),PC O-40:6,PC O-40:6,820.6,184.1,8,1,25,5,Positive,FALSE
PC(O-40:7) (a\b),PC O-40:7,PC O-40:7,818.6,184.1,7.3,1,25,5,Positive,FALSE
PC(O-42:4)/PC P-42:3,PC O-42:4,PC O-42:4,852.7,184.1,10.1,1,25,5,Positive,FALSE
PC(O-42:5)/PC P-42:4,PC O-42:5,PC O-42:5,850.7,184.1,9.7,1,25,5,Positive,FALSE
PC(O-42:6)/PC P-42:5,PC O-42:6,PC O-42:6,848.7,184.1,8.7,1,25,5,Positive,FALSE
PC(O-44:6)/PC P-44:5,PC O-44:6,PC O-44:6,876.7,184.1,9.8,1,25,5,Positive,FALSE
PC(P-30:0),PC P-30:0,PC P-30:0,690.4,184.1,5.6,1,25,5,Positive,FALSE
PC(P-32:0),PC P-32:0,PC P-32:0,718.5,184.1,6.6,1,25,5,Positive,FALSE
PC(P-32:1),PC P-32:1,PC P-32:1,716.6,184.1,5.8,1,25,5,Positive,FALSE
PC(P-34:0),PC P-34:0,PC P-34:0,746.6,184.1,8,1,25,5,Positive,FALSE
PC(P-34:1),PC P-34:1,PC P-34:1,744.6,184.1,7.2,1,25,5,Positive,FALSE
PC(P-34:2),PC P-34:2,PC P-34:2,742.5,184.1,7.1,1,25,5,Positive,FALSE
PC(P-34:3),PC P-34:3,PC P-34:3,740.6,184.1,6.4,1,25,5,Positive,FALSE
PC(P-35:2) (a\b),PC P-35:2,PC P-35:2,756.6,184.1,7.6,1.5,25,5,Positive,FALSE
PC(P-35:4) (a\b),PC P-35:4,PC P-35:4,752.6,184.1,6.5,1,25,5,Positive,FALSE
PC(P-36:2) (a\b),PC P-36:2,PC P-36:2,770.6,184.1,8.2,1,25,5,Positive,FALSE
PC(P-36:3),PC P-36:3,PC P-36:3,768.5,184.1,7.4,1,25,5,Positive,FALSE
PC(P-36:4),PC P-36:4,PC P-36:4,766.5,184.1,7,1,25,5,Positive,FALSE
PC(P-36:5),PC P-36:5,PC P-36:5,764.6,184.1,6.4,1,25,5,Positive,FALSE
PC(P-37:4) (a\b),PC P-37:4,PC P-37:4,780.5,184.1,7.5,1,25,5,Positive,FALSE
PC(P-38:4),PC P-38:4,PC P-38:4,794.6,184.1,8.1,1,25,5,Positive,FALSE
PC(P-38:5) (a\b),PC P-38:5,PC P-38:5,792.6,184.1,7.1,1.2,25,5,Positive,FALSE
PC(P-38:6),PC P-38:6,PC P-38:6,790.6,184.1,6.8,1,25,5,Positive,FALSE
PC(P-40:4),PC P-40:4,PC P-40:4,822.6,184.1,9.3,1,25,5,Positive,FALSE
PC(P-40:5) (a\b),PC P-40:5,PC P-40:5,820.6,184.1,8,1,25,5,Positive,FALSE
PC(P-40:6),PC P-40:6,PC P-40:6,818.6,184.1,7.5,1,25,5,Positive,FALSE
PC(P-40:7),PC P-40:7,PC P-40:7,816.6,184.1,6.5,1,25,5,Positive,FALSE
PE 32:0,PE 32:0,PE 32:0,692.5,551.5,7.5,1,19,5,Positive,FALSE
PE 32:1,PE 32:1,PE 32:1,690.5,549.5,6.6,1,19,5,Positive,FALSE
PE 34:0 (17:0_17:0) (ISTD),PE 34:0 (ISTD),PE 34:0,720.6,579.5,8.7,1,19,5,Positive,TRUE
PE 34:1,PE 34:1,PE 34:1,718.5,577.5,7.7,1,19,5,Positive,FALSE
PE 34:2,PE 34:2,PE 34:2,716.5,575.5,6.9,1,19,5,Positive,FALSE
PE 34:3 (a\b\c),PE 34:3,PE 34:3,714.5,573.5,6.3,1,19,5,Positive,FALSE
PE 35:1 (a\b),PE 35:1,PE 35:1,732.6,591.5,8.2,1,19,5,Positive,FALSE
PE 35:2 (a\b),PE 35:2,PE 35:2,730.5,589.5,7.4,1,19,5,Positive,FALSE
PE 36:0,PE 36:0,PE 36:0,748.6,607.6,9.8,1,19,5,Positive,FALSE
PE 36:1,PE 36:1,PE 36:1,746.6,605.6,8.9,1,19,5,Positive,FALSE
PE 36:2 (a\b),PE 36:2,PE 36:2,744.6,603.5,8,1,19,5,Positive,FALSE
PE 36:3 (a\b),PE 36:3,PE 36:3,742.5,601.5,7,1,19,5,Positive,FALSE
PE 36:4,PE 36:4,PE 36:4,740.5,599.5,6.8,1,19,5,Positive,FALSE
PE 36:5 (a\b),PE 36:5,PE 36:5,738.5,597.5,6.1,1,19,5,Positive,FALSE
